time=2024-09-08 15:40:49.921336+00:00, url=http://localhost:8080/api/ui, endpoint=/api/ui params={}
time=2024-09-08 15:40:50.178121+00:00, url=http://localhost:8080/favicon.ico, endpoint=/favicon.ico params={}
time=2024-09-08 15:41:02.501198+00:00, url=http://localhost:8080/api/v2/ui, endpoint=/api/v2/ui params={}
time=2024-09-08 15:41:02.820669+00:00, url=http://localhost:8080/api/v2/ui/, endpoint=/api/v2/ui/ params={}
time=2024-09-08 15:41:03.083244+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui.css, endpoint=/api/v2/ui/swagger-ui.css params={}
time=2024-09-08 15:41:03.215872+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-bundle.js, endpoint=/api/v2/ui/swagger-ui-bundle.js params={}
time=2024-09-08 15:41:03.221431+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-standalone-preset.js, endpoint=/api/v2/ui/swagger-ui-standalone-preset.js params={}
time=2024-09-08 15:41:03.381682+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-config.json, endpoint=/api/v2/ui/swagger-ui-config.json params={}
time=2024-09-08 15:41:03.693405+00:00, url=http://localhost:8080/api/v2/ui/favicon-32x32.png, endpoint=/api/v2/ui/favicon-32x32.png params={}
time=2024-09-08 15:41:03.711073+00:00, url=http://localhost:8080/api/v2/openapi.json, endpoint=/api/v2/openapi.json params={}
time=2024-09-10 18:00:38.767205+00:00, url=http://localhost:8080/api/ui, endpoint=/api/ui params={}
time=2024-09-10 18:00:38.807052+00:00, url=http://localhost:8080/favicon.ico, endpoint=/favicon.ico params={}
time=2024-09-10 18:00:59.577500+00:00, url=http://localhost:8080/api/ui, endpoint=/api/ui params={}
time=2024-09-10 18:01:04.714409+00:00, url=http://localhost:8080/api/ui, endpoint=/api/ui params={}
time=2024-09-10 18:01:10.474821+00:00, url=http://localhost:8080/api/v2/ui, endpoint=/api/v2/ui params={}
time=2024-09-10 18:01:10.741551+00:00, url=http://localhost:8080/api/v2/ui/, endpoint=/api/v2/ui/ params={}
time=2024-09-10 18:01:10.795866+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui.css, endpoint=/api/v2/ui/swagger-ui.css params={}
time=2024-09-10 18:01:11.102206+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-bundle.js, endpoint=/api/v2/ui/swagger-ui-bundle.js params={}
time=2024-09-10 18:01:11.106205+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-standalone-preset.js, endpoint=/api/v2/ui/swagger-ui-standalone-preset.js params={}
time=2024-09-10 18:01:11.598711+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-config.json, endpoint=/api/v2/ui/swagger-ui-config.json params={}
time=2024-09-10 18:01:11.864724+00:00, url=http://localhost:8080/api/v2/openapi.json, endpoint=/api/v2/openapi.json params={}
time=2024-09-10 18:01:15.722682+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:06:00.946038+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:07:43.221632+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:08:04.385104+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:10:03.214338+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:13:49.504273+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:28:34.940525+00:00, url=http://localhost:8080/api/v2/init, endpoint=/api/v2/init params={}
time=2024-09-10 18:39:48.279230+00:00, url=http://localhost:8080/api/v2/ui/, endpoint=/api/v2/ui/ params={}
time=2024-09-10 18:39:48.535839+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui.css, endpoint=/api/v2/ui/swagger-ui.css params={}
time=2024-09-10 18:39:48.664222+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-bundle.js, endpoint=/api/v2/ui/swagger-ui-bundle.js params={}
time=2024-09-10 18:39:48.671213+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-standalone-preset.js, endpoint=/api/v2/ui/swagger-ui-standalone-preset.js params={}
time=2024-09-10 18:39:49.035906+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-config.json, endpoint=/api/v2/ui/swagger-ui-config.json params={}
time=2024-09-10 18:39:49.350851+00:00, url=http://localhost:8080/api/v2/ui/favicon-32x32.png, endpoint=/api/v2/ui/favicon-32x32.png params={}
time=2024-09-10 18:39:49.398941+00:00, url=http://localhost:8080/api/v2/openapi.json, endpoint=/api/v2/openapi.json params={}
time=2024-09-10 18:39:49.691823+00:00, url=http://localhost:8080/api/v2/ui/favicon-32x32.png, endpoint=/api/v2/ui/favicon-32x32.png params={}
time=2024-09-10 18:40:07.723062+00:00, url=http://localhost:8080/api/v2/query_specific_country?country=UKR, endpoint=/api/v2/query_specific_country params={'country': 'UKR'}
time=2024-09-10 18:47:07.461331+00:00, url=http://localhost:8080/api/v2/query_specific_country?country=UKR, endpoint=/api/v2/query_specific_country params={'country': 'UKR'}
time=2024-09-10 18:47:26.563596+00:00, url=http://localhost:8080/api/v2/query_specific_country?country=UKR, endpoint=/api/v2/query_specific_country params={'country': 'UKR'}
time=2024-09-10 19:02:36.221042+00:00, url=http://localhost:8080/api/v2/query_specific_country?country=UKR, endpoint=/api/v2/query_specific_country params={'country': 'UKR'}
time=2024-09-10 19:07:30.386615+00:00, url=http://localhost:8080/api/v2/ui/, endpoint=/api/v2/ui/ params={}
time=2024-09-10 19:07:30.650333+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui.css, endpoint=/api/v2/ui/swagger-ui.css params={}
time=2024-09-10 19:07:30.739869+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-bundle.js, endpoint=/api/v2/ui/swagger-ui-bundle.js params={}
time=2024-09-10 19:07:30.745828+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-standalone-preset.js, endpoint=/api/v2/ui/swagger-ui-standalone-preset.js params={}
time=2024-09-10 19:07:30.944972+00:00, url=http://localhost:8080/api/v2/ui/swagger-ui-config.json, endpoint=/api/v2/ui/swagger-ui-config.json params={}
time=2024-09-10 19:07:31.254174+00:00, url=http://localhost:8080/api/v2/ui/favicon-32x32.png, endpoint=/api/v2/ui/favicon-32x32.png params={}
time=2024-09-10 19:07:31.284698+00:00, url=http://localhost:8080/api/v2/openapi.json, endpoint=/api/v2/openapi.json params={}
time=2024-09-10 19:07:31.582584+00:00, url=http://localhost:8080/api/v2/ui/favicon-32x32.png, endpoint=/api/v2/ui/favicon-32x32.png params={}
time=2024-09-10 19:07:42.328950+00:00, url=http://localhost:8080/api/v2/query_subnational_data?country=NGA, endpoint=/api/v2/query_subnational_data params={'country': 'NGA'}
time=2024-09-10 19:40:33.328674+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/1/1.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/1/1.pbf params={}
time=2024-09-10 19:40:33.343379+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/2/1.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/2/1.pbf params={}
time=2024-09-10 19:40:33.377051+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/1/2.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/1/2.pbf params={}
time=2024-09-10 19:40:33.387229+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/2/2.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/2/2.pbf params={}
time=2024-09-10 19:40:33.398181+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/1/0.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/1/0.pbf params={}
time=2024-09-10 19:40:33.415945+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/2/0.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/2/0.pbf params={}
time=2024-09-10 19:40:33.426231+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/0/1.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/0/1.pbf params={}
time=2024-09-10 19:40:33.434230+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/3/1.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/3/1.pbf params={}
time=2024-09-10 19:40:33.444231+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/0/2.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/0/2.pbf params={}
time=2024-09-10 19:40:33.450685+00:00, url=http://127.0.0.1:8080/api/v2//mvt/mobile_women/2024-05-01/2/3/2.pbf, endpoint=/api/v2//mvt/mobile_women/2024-05-01/2/3/2.pbf params={}
