gid_0,country,gid_1,name_1
AFG,Afghanistan,AFG.1_1,Badakhshan
AFG,Afghanistan,AFG.2_1,Badghis
AFG,Afghanistan,AFG.3_1,Baghlan
AFG,Afghanistan,AFG.4_1,Balkh
AFG,Afghanistan,AFG.5_1,Bamyan
AFG,Afghanistan,AFG.6_1,Daykundi
AFG,Afghanistan,AFG.7_1,Farah
AFG,Afghanistan,AFG.8_1,Faryab
AFG,Afghanistan,AFG.9_1,Ghazni
AFG,Afghanistan,AFG.10_1,Ghor
AFG,Afghanistan,AFG.11_1,Hilmand
AFG,Afghanistan,AFG.12_1,Hirat
AFG,Afghanistan,AFG.13_1,Jawzjan
AFG,Afghanistan,AFG.14_1,Kabul
AFG,Afghanistan,AFG.15_1,Kandahar
AFG,Afghanistan,AFG.16_1,Kapisa
AFG,Afghanistan,AFG.17_1,Khost
AFG,Afghanistan,AFG.18_1,Kunar
AFG,Afghanistan,AFG.19_1,Kunduz
AFG,Afghanistan,AFG.20_1,Laghman
AFG,Afghanistan,AFG.21_1,Logar
AFG,Afghanistan,AFG.22_1,Nangarhar
AFG,Afghanistan,AFG.23_1,Nimroz
AFG,Afghanistan,AFG.24_1,Nuristan
AFG,Afghanistan,AFG.25_1,Paktika
AFG,Afghanistan,AFG.26_1,Paktya
AFG,Afghanistan,AFG.27_1,Panjshir
AFG,Afghanistan,AFG.28_1,Parwan
AFG,Afghanistan,AFG.29_1,Samangan
AFG,Afghanistan,AFG.30_1,Sari Pul
AFG,Afghanistan,AFG.31_1,Takhar
AFG,Afghanistan,AFG.32_1,Uruzgan
AFG,Afghanistan,AFG.33_1,Wardak
AFG,Afghanistan,AFG.34_1,Zabul
AGO,Angola,AGO.1_1,Bengo
AGO,Angola,AGO.2_1,Benguela
AGO,Angola,AGO.3_1,Bié
AGO,Angola,AGO.4_1,Cabinda
AGO,Angola,AGO.5_1,Cuando Cubango
AGO,Angola,AGO.6_1,Cuanza Norte
AGO,Angola,AGO.7_1,Cuanza Sul
AGO,Angola,AGO.8_1,Cunene
AGO,Angola,AGO.9_1,Huambo
AGO,Angola,AGO.10_1,Huíla
AGO,Angola,AGO.11_1,Luanda
AGO,Angola,AGO.12_1,Lunda Norte
AGO,Angola,AGO.13_1,Lunda Sul
AGO,Angola,AGO.14_1,Malanje
AGO,Angola,AGO.15_1,Moxico
AGO,Angola,AGO.16_1,Namibe
AGO,Angola,AGO.17_1,Uíge
AGO,Angola,AGO.18_1,Zaire
ALB,Albania,ALB.1_1,Berat
ALB,Albania,ALB.2_1,Dibër
ALB,Albania,ALB.3_1,Durrës
ALB,Albania,ALB.4_1,Elbasan
ALB,Albania,ALB.5_1,Fier
ALB,Albania,ALB.6_1,Gjirokastër
ALB,Albania,ALB.7_1,Korçë
