iso3,survey_year,source,outcome,observed
AGO,2015.0,dhs7,mobile_women,51.2
ALB,2017.0,dhs7,mobile_women,90.1
ARG,2022.0,itu,mobile_women,89.2
ARM,2015.0,dhs7,mobile_women,96.7
AZE,2021.0,itu,mobile_women,83.4
BDI,2016.0,dhs7,mobile_women,23.6
BEN,2017.0,dhs7,mobile_women,51.1
BEN,2021.0,mics6,mobile_women,52.1
BFA,2021.0,dhs8,mobile_women,75.2
BLR,2022.0,itu,mobile_women,97.9
BRA,2022.0,itu,mobile_women,89.0
CAF,2018.0,mics6,mobile_women,20.6
CHE,2021.0,itu,mobile_women,97.7
CHL,2017.0,itu,mobile_women,97.2
CIV,2021.0,dhs8,mobile_women,78.2
CMR,2018.0,dhs7,mobile_women,63.6
COD,2017.0,mics6,mobile_women,33.4
COM,2022.0,mics6,mobile_women,69.2
CRI,2015.0,itu,mobile_women,86.2
CUW,2017.0,itu,mobile_women,87.9
CZE,2022.0,itu,mobile_women,98.6
ETH,2016.0,dhs7,mobile_women,27.3
FIN,2018.0,itu,mobile_women,98.0
FJI,2021.0,mics6,mobile_women,79.4
FRA,2022.0,itu,mobile_women,94.4
GAB,2019.0,dhs7,mobile_women,88.6
GHA,2022.0,dhs8,mobile_women,79.6
GHA,2017.0,mics6,mobile_women,68.0
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GIN,2018.0,dhs7,mobile_women,68.9
GMB,2019.0,dhs8,mobile_women,76.4
GMB,2018.0,mics6,mobile_women,74.1
GNB,2018.0,mics6,mobile_women,60.7
GRD,2017.0,itu,mobile_women,95.0
GUY,2019.0,mics6,mobile_women,87.9
HTI,2016.0,dhs7,mobile_women,57.1
IDN,2017.0,dhs7,mobile_women,78.5
IND,2019.0,dhs7,mobile_women,53.9
IRL,2018.0,itu,mobile_women,88.3
ITA,2016.0,itu,mobile_women,90.4
JAM,2016.0,itu,mobile_women,97.2
JOR,2017.0,dhs7,mobile_women,91.8
KAZ,2022.0,itu,mobile_women,95.2
KEN,2022.0,dhs8,mobile_women,77.5
KHM,2021.0,dhs8,mobile_women,84.8
KIR,2020.0,mics6,mobile_women,52.7
LAO,2017.0,mics6,mobile_women,73.1
LBR,2019.0,dhs7,mobile_women,46.7
LSO,2018.0,mics6,mobile_women,86.9
LTU,2019.0,itu,mobile_women,95.9
MDG,2021.0,dhs8,mobile_women,34.6
MDG,2018.0,mics6,mobile_women,32.0
MDV,2016.0,dhs7,mobile_women,95.5
MLI,2018.0,dhs7,mobile_women,58.3
MNG,2018.0,mics6,mobile_women,77.9
MRT,2019.0,dhs7,mobile_women,76.7
MWI,2015.0,dhs7,mobile_women,32.8
MWI,2019.0,mics6,mobile_women,34.0
NGA,2018.0,dhs7,mobile_women,55.3
NGA,2021.0,mics6,mobile_women,58.2
NOR,2019.0,itu,mobile_women,88.5
NPL,2016.0,dhs7,mobile_women,72.6
NPL,2022.0,dhs8,mobile_women,79.6
NPL,2019.0,mics6,mobile_women,79.3
PAK,2017.0,dhs7,mobile_women,39.2
PNG,2016.0,dhs7,mobile_women,34.3
PRT,2022.0,itu,mobile_women,96.9
ROU,2022.0,itu,mobile_women,98.0
RWA,2019.0,dhs8,mobile_women,47.9
SEN,2017.0,continuous dhs7,mobile_women,68.0
SEN,2018.0,continuous dhs8,mobile_women,70.8
SEN,2019.0,continuous dhs8,mobile_women,69.7
SLE,2019.0,dhs7,mobile_women,42.6
SLE,2017.0,mics6,mobile_women,45.2
SRB,2022.0,itu,mobile_women,95.8
STP,2019.0,mics6,mobile_women,67.1
SUR,2018.0,mics6,mobile_women,93.1
SVN,2022.0,itu,mobile_women,98.0
SWZ,2021.0,mics6,mobile_women,90.2
TCA,2019.0,mics6,mobile_women,99.0
TCD,2019.0,mics6,mobile_women,31.8
TGO,2017.0,mics6,mobile_women,39.5
TGO,2017.0,mics6,mobile_women,39.5
TGO,2017.0,mics6,mobile_women,56.6
TGO,2017.0,mics6,mobile_women,56.6
TGO,2017.0,mics6,mobile_women,39.5
TGO,2017.0,mics6,mobile_women,39.5
TGO,2017.0,mics6,mobile_women,56.6
TGO,2017.0,mics6,mobile_women,56.6
TLS,2016.0,dhs7,mobile_women,65.6
TON,2019.0,mics6,mobile_women,84.4
TUN,2018.0,mics6,mobile_women,91.5
TUV,2019.0,mics6,mobile_women,77.8
TZA,2015.0,dhs7,mobile_women,52.2
TZA,2022.0,dhs8,mobile_women,59.4
UGA,2016.0,dhs7,mobile_women,45.5
UKR,2021.0,itu,mobile_women,91.0
UZB,2022.0,itu,mobile_women,74.1
VNM,2020.0,mics6,mobile_women,94.3
WSM,2019.0,mics6,mobile_women,77.4
ZAF,2016.0,dhs7,mobile_women,91.2
ZMB,2018.0,dhs7,mobile_women,53.0
ZMB,2018.0,dhs7,mobile_women,53.0
ZMB,2018.0,dhs7,mobile_women,45.2
ZMB,2018.0,dhs7,mobile_women,45.2
ZMB,2018.0,dhs7,mobile_women,53.0
ZMB,2018.0,dhs7,mobile_women,53.0
ZMB,2018.0,dhs7,mobile_women,45.2
ZMB,2018.0,dhs7,mobile_women,45.2
ZWE,2015.0,dhs7,mobile_women,69.5
ZWE,2019.0,mics6,mobile_women,72.0
AGO,2015.0,dhs7,mobile_men,70.3
ALB,2017.0,dhs7,mobile_men,94.2
ARG,2022.0,itu,mobile_men,89.4
ARM,2015.0,dhs7,mobile_men,98.8
AZE,2021.0,itu,mobile_men,84.6
BDI,2016.0,dhs7,mobile_men,47.5
BEN,2017.0,dhs7,mobile_men,79.5
BEN,2021.0,mics6,mobile_men,72.3
BFA,2021.0,dhs8,mobile_men,90.1
BLR,2022.0,itu,mobile_men,95.8
BRA,2022.0,itu,mobile_men,87.1
CAF,2018.0,mics6,mobile_men,36.9
CHE,2021.0,itu,mobile_men,97.9
CHL,2017.0,itu,mobile_men,86.7
CIV,2021.0,dhs8,mobile_men,92.0
CMR,2018.0,dhs7,mobile_men,77.3
COD,2017.0,mics6,mobile_men,53.2
COM,2022.0,mics6,mobile_men,74.4
CRI,2015.0,itu,mobile_men,85.8
CUW,2017.0,itu,mobile_men,86.5
CZE,2022.0,itu,mobile_men,99.1
ETH,2016.0,dhs7,mobile_men,54.8
FIN,2018.0,itu,mobile_men,98.9
FJI,2021.0,mics6,mobile_men,83.6
FRA,2022.0,itu,mobile_men,95.5
GAB,2019.0,dhs7,mobile_men,88.9
GHA,2022.0,dhs8,mobile_men,87.5
GHA,2017.0,mics6,mobile_men,79.9
GIN,2018.0,dhs7,mobile_men,85.8
GIN,2018.0,dhs7,mobile_men,86.0
GIN,2018.0,dhs7,mobile_men,85.8
GIN,2018.0,dhs7,mobile_men,86.0
GIN,2018.0,dhs7,mobile_men,85.8
GIN,2018.0,dhs7,mobile_men,86.0
GIN,2018.0,dhs7,mobile_men,85.8
GIN,2018.0,dhs7,mobile_men,86.0
GMB,2019.0,dhs8,mobile_men,85.6
GMB,2018.0,mics6,mobile_men,85.1
GNB,2018.0,mics6,mobile_men,87.2
GRD,2017.0,itu,mobile_men,90.3
GUY,2019.0,mics6,mobile_men,87.8
HTI,2016.0,dhs7,mobile_men,69.6
IDN,2017.0,dhs7,mobile_men,86.8
IND,2019.0,dhs7,mobile_men,92.2
IRL,2018.0,itu,mobile_men,86.6
ITA,2016.0,itu,mobile_men,92.7
JAM,2016.0,itu,mobile_men,95.6
JOR,2017.0,dhs7,mobile_men,88.6
KAZ,2022.0,itu,mobile_men,90.1
KEN,2022.0,dhs8,mobile_men,80.4
KHM,2021.0,dhs8,mobile_men,91.3
KIR,2020.0,mics6,mobile_men,53.0
LAO,2017.0,mics6,mobile_men,84.3
LBR,2019.0,dhs7,mobile_men,60.6
LSO,2018.0,mics6,mobile_men,83.6
LTU,2019.0,itu,mobile_men,95.5
MDG,2021.0,dhs8,mobile_men,46.7
MDG,2018.0,mics6,mobile_men,42.1
MDV,2016.0,dhs7,mobile_men,96.7
MLI,2018.0,dhs7,mobile_men,87.4
MNG,2018.0,mics6,mobile_men,67.3
MRT,2019.0,dhs7,mobile_men,84.7
MWI,2015.0,dhs7,mobile_men,52.2
MWI,2019.0,mics6,mobile_men,50.3
NGA,2018.0,dhs7,mobile_men,80.6
NGA,2021.0,mics6,mobile_men,73.4
NOR,2019.0,itu,mobile_men,90.1
NPL,2016.0,dhs7,mobile_men,89.3
NPL,2022.0,dhs8,mobile_men,91.6
NPL,2019.0,mics6,mobile_men,91.4
PAK,2017.0,dhs7,mobile_men,92.7
PNG,2016.0,dhs7,mobile_men,50.4
PRT,2022.0,itu,mobile_men,97.4
ROU,2022.0,itu,mobile_men,98.1
RWA,2019.0,dhs8,mobile_men,61.6
SEN,2017.0,continuous dhs7,mobile_men,83.2
SEN,2018.0,continuous dhs8,mobile_men,83.3
SEN,2019.0,continuous dhs8,mobile_men,84.5
SLE,2019.0,dhs7,mobile_men,64.3
SLE,2017.0,mics6,mobile_men,64.8
SRB,2022.0,itu,mobile_men,95.2
STP,2019.0,mics6,mobile_men,59.6
SUR,2018.0,mics6,mobile_men,94.0
SVN,2022.0,itu,mobile_men,97.5
SWZ,2021.0,mics6,mobile_men,91.1
TCA,2019.0,mics6,mobile_men,98.4
TCD,2019.0,mics6,mobile_men,70.7
TGO,2017.0,mics6,mobile_men,48.6
TGO,2017.0,mics6,mobile_men,78.3
TGO,2017.0,mics6,mobile_men,48.6
TGO,2017.0,mics6,mobile_men,78.3
TGO,2017.0,mics6,mobile_men,48.6
TGO,2017.0,mics6,mobile_men,78.3
TGO,2017.0,mics6,mobile_men,48.6
TGO,2017.0,mics6,mobile_men,78.3
TLS,2016.0,dhs7,mobile_men,77.3
TON,2019.0,mics6,mobile_men,88.3
TUN,2018.0,mics6,mobile_men,96.1
TUV,2019.0,mics6,mobile_men,82.7
TZA,2015.0,dhs7,mobile_men,68.8
TZA,2022.0,dhs8,mobile_men,75.1
UGA,2016.0,dhs7,mobile_men,65.8
UKR,2021.0,itu,mobile_men,90.4
UZB,2022.0,itu,mobile_men,83.9
VNM,2020.0,mics6,mobile_men,94.2
WSM,2019.0,mics6,mobile_men,80.6
ZAF,2016.0,dhs7,mobile_men,88.5
ZMB,2018.0,dhs7,mobile_men,65.7
ZMB,2018.0,dhs7,mobile_men,44.0
ZMB,2018.0,dhs7,mobile_men,65.7
ZMB,2018.0,dhs7,mobile_men,44.0
ZMB,2018.0,dhs7,mobile_men,65.7
ZMB,2018.0,dhs7,mobile_men,44.0
ZMB,2018.0,dhs7,mobile_men,65.7
ZMB,2018.0,dhs7,mobile_men,44.0
ZWE,2015.0,dhs7,mobile_men,73.4
ZWE,2019.0,mics6,mobile_men,73.0
AGO,2015.0,dhs7,mobile_fm_ratio,0.729
ALB,2017.0,dhs7,mobile_fm_ratio,0.957
ARG,2022.0,itu,mobile_fm_ratio,0.998
ARM,2015.0,dhs7,mobile_fm_ratio,0.979
AZE,2021.0,itu,mobile_fm_ratio,0.986
BDI,2016.0,dhs7,mobile_fm_ratio,0.496
BEN,2017.0,dhs7,mobile_fm_ratio,0.643
BEN,2021.0,mics6,mobile_fm_ratio,0.721
BFA,2021.0,dhs8,mobile_fm_ratio,0.835
BLR,2022.0,itu,mobile_fm_ratio,1.022
BRA,2022.0,itu,mobile_fm_ratio,1.022
CAF,2018.0,mics6,mobile_fm_ratio,0.558
CHE,2021.0,itu,mobile_fm_ratio,0.998
CHL,2017.0,itu,mobile_fm_ratio,1.121
CIV,2021.0,dhs8,mobile_fm_ratio,0.851
CMR,2018.0,dhs7,mobile_fm_ratio,0.822
COD,2017.0,mics6,mobile_fm_ratio,0.628
COM,2022.0,mics6,mobile_fm_ratio,0.93
CRI,2015.0,itu,mobile_fm_ratio,1.005
CUW,2017.0,itu,mobile_fm_ratio,1.016
CZE,2022.0,itu,mobile_fm_ratio,0.995
ETH,2016.0,dhs7,mobile_fm_ratio,0.499
FIN,2018.0,itu,mobile_fm_ratio,0.991
FJI,2021.0,mics6,mobile_fm_ratio,0.95
FRA,2022.0,itu,mobile_fm_ratio,0.988
GAB,2019.0,dhs7,mobile_fm_ratio,0.997
GHA,2022.0,dhs8,mobile_fm_ratio,0.91
GHA,2017.0,mics6,mobile_fm_ratio,0.85
GIN,2018.0,dhs7,mobile_fm_ratio,0.804
GIN,2018.0,dhs7,mobile_fm_ratio,0.804
GIN,2018.0,dhs7,mobile_fm_ratio,0.804
GIN,2018.0,dhs7,mobile_fm_ratio,0.804
GIN,2018.0,dhs7,mobile_fm_ratio,0.801
GIN,2018.0,dhs7,mobile_fm_ratio,0.801
GIN,2018.0,dhs7,mobile_fm_ratio,0.801
GIN,2018.0,dhs7,mobile_fm_ratio,0.801
GMB,2019.0,dhs8,mobile_fm_ratio,0.893
GMB,2018.0,mics6,mobile_fm_ratio,0.871
GNB,2018.0,mics6,mobile_fm_ratio,0.696
GRD,2017.0,itu,mobile_fm_ratio,1.052
GUY,2019.0,mics6,mobile_fm_ratio,1.001
HTI,2016.0,dhs7,mobile_fm_ratio,0.82
IDN,2017.0,dhs7,mobile_fm_ratio,0.904
IND,2019.0,dhs7,mobile_fm_ratio,0.585
IRL,2018.0,itu,mobile_fm_ratio,1.02
ITA,2016.0,itu,mobile_fm_ratio,0.975
JAM,2016.0,itu,mobile_fm_ratio,1.017
JOR,2017.0,dhs7,mobile_fm_ratio,1.036
KAZ,2022.0,itu,mobile_fm_ratio,1.057
KEN,2022.0,dhs8,mobile_fm_ratio,0.963
KHM,2021.0,dhs8,mobile_fm_ratio,0.929
KIR,2020.0,mics6,mobile_fm_ratio,0.994
LAO,2017.0,mics6,mobile_fm_ratio,0.868
LBR,2019.0,dhs7,mobile_fm_ratio,0.771
LSO,2018.0,mics6,mobile_fm_ratio,1.039
LTU,2019.0,itu,mobile_fm_ratio,1.004
MDG,2021.0,dhs8,mobile_fm_ratio,0.741
MDG,2018.0,mics6,mobile_fm_ratio,0.76
MDV,2016.0,dhs7,mobile_fm_ratio,0.987
