gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.1_1,mobile_women,31.04,9.99,2015-01
AFG,AFG.1_1,mobile_men,81.81,6.03,2015-01
AFG,AFG.1_1,mobile_fm_ratio,0.33,0.11,2015-01
AFG,AFG.1_1,internet_women,7.35,3.74,2015-01
AFG,AFG.1_1,internet_men,25.43,7.62,2015-01
AFG,AFG.1_1,internet_fm_ratio,0.16,0.09,2015-01
AFG,AFG.1_1,mobile_women,31.54,9.98,2016-01
AFG,AFG.1_1,mobile_men,83.37,6.03,2016-01
AFG,AFG.1_1,mobile_fm_ratio,0.34,0.11,2016-01
AFG,AFG.1_1,internet_women,7.46,3.74,2016-01
AFG,AFG.1_1,internet_men,25.84,7.58,2016-01
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2016-01
AFG,AFG.1_1,mobile_women,32.86,9.96,2017-01
AFG,AFG.1_1,mobile_men,85.02,6.03,2017-01
AFG,AFG.1_1,mobile_fm_ratio,0.35,0.11,2017-01
AFG,AFG.1_1,internet_women,7.75,3.73,2017-01
AFG,AFG.1_1,internet_men,26.07,7.56,2017-01
AFG,AFG.1_1,internet_fm_ratio,0.18,0.09,2017-01
AFG,AFG.1_1,mobile_women,34.62,9.95,2018-01
AFG,AFG.1_1,mobile_men,84.97,6.04,2018-01
AFG,AFG.1_1,mobile_fm_ratio,0.38,0.11,2018-01
AFG,AFG.1_1,internet_women,8.97,3.73,2018-01
AFG,AFG.1_1,internet_men,27.46,7.52,2018-01
AFG,AFG.1_1,internet_fm_ratio,0.19,0.09,2018-01
AFG,AFG.1_1,mobile_women,35.63,9.88,2019-06
AFG,AFG.1_1,mobile_men,85.5,6.02,2019-06
AFG,AFG.1_1,mobile_fm_ratio,0.43,0.11,2019-06
AFG,AFG.1_1,internet_women,10.55,3.57,2019-06
AFG,AFG.1_1,internet_men,29.82,7.44,2019-06
AFG,AFG.1_1,internet_fm_ratio,0.2,0.09,2019-06
AFG,AFG.1_1,mobile_women,35.6,9.97,2020-06
AFG,AFG.1_1,mobile_men,79.18,6.04,2020-06
AFG,AFG.1_1,mobile_fm_ratio,0.42,0.11,2020-06
AFG,AFG.1_1,internet_women,10.83,3.8,2020-06
AFG,AFG.1_1,internet_men,29.57,7.55,2020-06
AFG,AFG.1_1,internet_fm_ratio,0.2,0.09,2020-06
AFG,AFG.1_1,mobile_women,36.82,10.03,2021-06
AFG,AFG.1_1,mobile_men,74.48,6.05,2021-06
AFG,AFG.1_1,mobile_fm_ratio,0.43,0.11,2021-06
AFG,AFG.1_1,internet_women,10.82,3.87,2021-06
AFG,AFG.1_1,internet_men,29.4,7.47,2021-06
AFG,AFG.1_1,internet_fm_ratio,0.21,0.09,2021-06
AFG,AFG.1_1,mobile_women,31.04,9.85,2022-06
AFG,AFG.1_1,mobile_men,60.71,6.05,2022-06
AFG,AFG.1_1,mobile_fm_ratio,0.4,0.11,2022-06
AFG,AFG.1_1,internet_women,8.68,3.71,2022-06
AFG,AFG.1_1,internet_men,28.74,6.84,2022-06
AFG,AFG.1_1,internet_fm_ratio,0.16,0.08,2022-06
AFG,AFG.1_1,mobile_women,30.61,9.7,2023-06
AFG,AFG.1_1,mobile_men,59.38,6.05,2023-06
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2023-06
AFG,AFG.1_1,internet_women,8.1,3.59,2023-06
AFG,AFG.1_1,internet_men,28.74,6.75,2023-06
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2023-06
AFG,AFG.1_1,mobile_women,32.63,10.02,2024-01
AFG,AFG.1_1,mobile_men,62.29,6.05,2024-01
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-01
AFG,AFG.1_1,internet_women,9.47,3.66,2024-01
AFG,AFG.1_1,internet_men,30,6.82,2024-01
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-01
AFG,AFG.1_1,mobile_women,32.96,10.11,2024-02
AFG,AFG.1_1,mobile_men,62.71,6.05,2024-02
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-02
AFG,AFG.1_1,internet_women,9.66,3.73,2024-02
AFG,AFG.1_1,internet_men,30.09,6.88,2024-02
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2024-02
AFG,AFG.1_1,mobile_women,32.92,10.07,2024-03
AFG,AFG.1_1,mobile_men,62.63,6.05,2024-03
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-03
AFG,AFG.1_1,internet_women,9.57,3.67,2024-03
AFG,AFG.1_1,internet_men,30.22,6.84,2024-03
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-03
AFG,AFG.1_1,mobile_women,32.92,10.1,2024-04
AFG,AFG.1_1,mobile_men,62.8,6.04,2024-04
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-04
AFG,AFG.1_1,internet_women,9.62,3.67,2024-04
AFG,AFG.1_1,internet_men,30.25,6.84,2024-04
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2024-04
AFG,AFG.1_1,mobile_women,32.92,10.12,2024-05
AFG,AFG.1_1,mobile_men,62.95,6.04,2024-05
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-05
AFG,AFG.1_1,internet_women,9.66,3.7,2024-05
AFG,AFG.1_1,internet_men,30.52,6.85,2024-05
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2024-05
AFG,AFG.1_1,mobile_women,32.93,10.13,2024-06
AFG,AFG.1_1,mobile_men,63,6.04,2024-06
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-06
AFG,AFG.1_1,internet_women,9.67,3.72,2024-06
AFG,AFG.1_1,internet_men,30.52,6.86,2024-06
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2024-06
AFG,AFG.1_1,mobile_women,32.92,10.1,2024-07
AFG,AFG.1_1,mobile_men,62.86,6.04,2024-07
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-07
AFG,AFG.1_1,internet_women,9.6,3.65,2024-07
AFG,AFG.1_1,internet_men,30.36,6.83,2024-07
AFG,AFG.1_1,internet_fm_ratio,0.17,0.09,2024-07
AFG,AFG.1_1,mobile_women,32.04,10.01,2024-08
AFG,AFG.1_1,mobile_men,61.43,6.04,2024-08
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-08
AFG,AFG.1_1,internet_women,9.39,3.64,2024-08
AFG,AFG.1_1,internet_men,29.7,6.82,2024-08
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-08
AFG,AFG.1_1,mobile_women,32.45,9.99,2024-09
AFG,AFG.1_1,mobile_men,62.66,6.03,2024-09
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-09
AFG,AFG.1_1,internet_women,9.38,3.58,2024-09
AFG,AFG.1_1,internet_men,30.41,6.76,2024-09
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-09
AFG,AFG.1_1,mobile_women,32.77,10.05,2024-10
AFG,AFG.1_1,mobile_men,63.13,6.03,2024-10
AFG,AFG.1_1,mobile_fm_ratio,0.41,0.11,2024-10
AFG,AFG.1_1,internet_women,9.48,3.56,2024-10
AFG,AFG.1_1,internet_men,30.86,6.76,2024-10
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-10
AFG,AFG.1_1,mobile_women,32.24,10.09,2024-11
AFG,AFG.1_1,mobile_men,61.92,6.03,2024-11
AFG,AFG.1_1,mobile_fm_ratio,0.4,0.11,2024-11
AFG,AFG.1_1,internet_women,9.41,3.51,2024-11
AFG,AFG.1_1,internet_men,30.54,6.78,2024-11
AFG,AFG.1_1,internet_fm_ratio,0.17,0.08,2024-11
AFG,AFG.2_1,mobile_women,32.43,9.97,2015-01
AFG,AFG.2_1,mobile_men,82.71,6.03,2015-01
AFG,AFG.2_1,mobile_fm_ratio,0.35,0.11,2015-01
AFG,AFG.2_1,internet_women,7.2,3.05,2015-01
AFG,AFG.2_1,internet_men,26.15,7.43,2015-01
AFG,AFG.2_1,internet_fm_ratio,0.17,0.09,2015-01
AFG,AFG.2_1,mobile_women,33.03,9.97,2016-01
AFG,AFG.2_1,mobile_men,84.91,6.03,2016-01
AFG,AFG.2_1,mobile_fm_ratio,0.36,0.11,2016-01
AFG,AFG.2_1,internet_women,7.35,3.05,2016-01
AFG,AFG.2_1,internet_men,26.63,7.39,2016-01
AFG,AFG.2_1,internet_fm_ratio,0.18,0.09,2016-01
AFG,AFG.2_1,mobile_women,34.37,9.95,2017-01
AFG,AFG.2_1,mobile_men,85.95,6.03,2017-01
