gid_1,gid_0,survey_year,outcome,observed,source
ALB.1_1,ALB,2017,mobile_women,84.4,dhs
ALB.1_1,ALB,2017,mobile_men,96,dhs
ALB.1_1,ALB,2017,mobile_fm_ratio,0.879,dhs
ALB.10_1,ALB,2017,mobile_women,92.2,dhs
ALB.10_1,ALB,2017,mobile_men,97.5,dhs
ALB.10_1,ALB,2017,mobile_fm_ratio,0.946,dhs
ALB.11_1,ALB,2017,mobile_women,94.2,dhs
ALB.11_1,ALB,2017,mobile_men,90.3,dhs
ALB.11_1,ALB,2017,mobile_fm_ratio,1.043,dhs
ALB.12_1,ALB,2017,mobile_women,95.5,dhs
ALB.12_1,ALB,2017,mobile_men,98.6,dhs
ALB.12_1,ALB,2017,mobile_fm_ratio,0.969,dhs
ALB.2_1,ALB,2017,mobile_women,79.8,dhs
ALB.2_1,ALB,2017,mobile_men,92.7,dhs
ALB.2_1,ALB,2017,mobile_fm_ratio,0.86,dhs
ALB.3_1,ALB,2017,mobile_women,96,dhs
ALB.3_1,ALB,2017,mobile_men,94.5,dhs
ALB.3_1,ALB,2017,mobile_fm_ratio,1.016,dhs
ALB.4_1,ALB,2017,mobile_women,87.8,dhs
ALB.4_1,ALB,2017,mobile_men,94.5,dhs
ALB.4_1,ALB,2017,mobile_fm_ratio,0.93,dhs
ALB.5_1,ALB,2017,mobile_women,81.2,dhs
ALB.5_1,ALB,2017,mobile_men,97.9,dhs
ALB.5_1,ALB,2017,mobile_fm_ratio,0.83,dhs
ALB.6_1,ALB,2017,mobile_women,93.6,dhs
ALB.6_1,ALB,2017,mobile_men,97.1,dhs
ALB.6_1,ALB,2017,mobile_fm_ratio,0.964,dhs
ALB.7_1,ALB,2017,mobile_women,89.1,dhs
ALB.7_1,ALB,2017,mobile_men,95.5,dhs
ALB.7_1,ALB,2017,mobile_fm_ratio,0.933,dhs
ALB.8_1,ALB,2017,mobile_women,80.6,dhs
ALB.8_1,ALB,2017,mobile_men,97,dhs
ALB.8_1,ALB,2017,mobile_fm_ratio,0.831,dhs
ALB.9_1,ALB,2017,mobile_women,89.3,dhs
ALB.9_1,ALB,2017,mobile_men,98.6,dhs
ALB.9_1,ALB,2017,mobile_fm_ratio,0.906,dhs
ARM.1_1,ARM,2015,internet_women,81.5,dhs
ARM.1_1,ARM,2015,internet_men,77.1,dhs
ARM.1_1,ARM,2015,internet_fm_ratio,1.047,dhs
ARM.1_1,ARM,2015,mobile_women,99.6,dhs
ARM.1_1,ARM,2015,mobile_men,98.7,dhs
ARM.1_1,ARM,2015,mobile_fm_ratio,1.009,dhs
ARM.10_1,ARM,2015,internet_women,76.7,dhs
ARM.10_1,ARM,2015,internet_men,90.2,dhs
ARM.10_1,ARM,2015,internet_fm_ratio,0.851,dhs
ARM.10_1,ARM,2015,mobile_women,94.9,dhs
ARM.10_1,ARM,2015,mobile_men,100,dhs
ARM.10_1,ARM,2015,mobile_fm_ratio,0.949,dhs
ARM.11_1,ARM,2015,internet_women,88.4,dhs
ARM.11_1,ARM,2015,internet_men,75.4,dhs
ARM.11_1,ARM,2015,internet_fm_ratio,1.166,dhs
ARM.11_1,ARM,2015,mobile_women,97.2,dhs
ARM.11_1,ARM,2015,mobile_men,98.2,dhs
ARM.11_1,ARM,2015,mobile_fm_ratio,0.989,dhs
ARM.2_1,ARM,2015,internet_women,77.4,dhs
ARM.2_1,ARM,2015,internet_men,77.4,dhs
ARM.2_1,ARM,2015,internet_fm_ratio,0.881,dhs
ARM.2_1,ARM,2015,mobile_women,97,dhs
ARM.2_1,ARM,2015,mobile_men,99,dhs
ARM.2_1,ARM,2015,mobile_fm_ratio,0.98,dhs
ARM.3_1,ARM,2015,internet_women,73.9,dhs
ARM.3_1,ARM,2015,internet_men,76.4,dhs
ARM.3_1,ARM,2015,internet_fm_ratio,0.967,dhs
ARM.3_1,ARM,2015,mobile_women,89.8,dhs
ARM.3_1,ARM,2015,mobile_men,95.9,dhs
ARM.3_1,ARM,2015,mobile_fm_ratio,0.936,dhs
ARM.4_1,ARM,2015,internet_women,95.9,dhs
ARM.4_1,ARM,2015,internet_men,95.2,dhs
ARM.4_1,ARM,2015,internet_fm_ratio,1.002,dhs
ARM.4_1,ARM,2015,mobile_women,99.8,dhs
ARM.4_1,ARM,2015,mobile_men,99.5,dhs
ARM.4_1,ARM,2015,mobile_fm_ratio,1.003,dhs
ARM.5_1,ARM,2015,internet_women,83.5,dhs
ARM.5_1,ARM,2015,internet_men,92.8,dhs
ARM.5_1,ARM,2015,internet_fm_ratio,0.884,dhs
ARM.5_1,ARM,2015,mobile_women,91.2,dhs
ARM.5_1,ARM,2015,mobile_men,97.6,dhs
ARM.5_1,ARM,2015,mobile_fm_ratio,0.935,dhs
ARM.6_1,ARM,2015,internet_women,85.7,dhs
ARM.6_1,ARM,2015,internet_men,94,dhs
ARM.6_1,ARM,2015,internet_fm_ratio,0.911,dhs
ARM.6_1,ARM,2015,mobile_women,96.5,dhs
ARM.6_1,ARM,2015,mobile_men,100,dhs
ARM.6_1,ARM,2015,mobile_fm_ratio,0.965,dhs
ARM.7_1,ARM,2015,internet_women,84.3,dhs
ARM.7_1,ARM,2015,internet_men,88.7,dhs
ARM.7_1,ARM,2015,internet_fm_ratio,0.919,dhs
ARM.7_1,ARM,2015,mobile_women,99.2,dhs
ARM.7_1,ARM,2015,mobile_men,98.2,dhs
ARM.7_1,ARM,2015,mobile_fm_ratio,1.01,dhs
ARM.8_1,ARM,2015,internet_women,86.7,dhs
ARM.8_1,ARM,2015,internet_men,98.2,dhs
ARM.8_1,ARM,2015,internet_fm_ratio,0.883,dhs
ARM.8_1,ARM,2015,mobile_women,98.3,dhs
ARM.8_1,ARM,2015,mobile_men,100,dhs
ARM.8_1,ARM,2015,mobile_fm_ratio,0.983,dhs
ARM.9_1,ARM,2015,internet_women,92.2,dhs
ARM.9_1,ARM,2015,internet_men,89.8,dhs
ARM.9_1,ARM,2015,internet_fm_ratio,1,dhs
ARM.9_1,ARM,2015,mobile_women,98.2,dhs
ARM.9_1,ARM,2015,mobile_men,98.2,dhs
ARM.9_1,ARM,2015,mobile_fm_ratio,0.999,dhs
BGD.1_1,BGD,2018,mobile_women,63.3,dhs
BGD.2_1,BGD,2018,mobile_women,70.2,dhs
BGD.3_1,BGD,2018,mobile_women,69.2,dhs
BGD.4_1,BGD,2018,mobile_women,55.1,dhs
BGD.5_1,BGD,2018,mobile_women,50.8,dhs
BGD.6_1,BGD,2018,mobile_women,46.6,dhs
BGD.7_1,BGD,2018,mobile_women,55.6,dhs
BGD.8_1,BGD,2018,mobile_women,53.5,dhs
HTI.1_1,HTI,2016,internet_women,15.6,dhs
HTI.1_1,HTI,2016,internet_men,24.3,dhs
HTI.1_1,HTI,2016,internet_fm_ratio,0.541,dhs
HTI.1_1,HTI,2016,mobile_women,39.4,dhs
HTI.1_1,HTI,2016,mobile_men,58.4,dhs
HTI.1_1,HTI,2016,mobile_fm_ratio,0.675,dhs
HTI.10_1,HTI,2016,internet_women,25.8,dhs
HTI.10_1,HTI,2016,internet_men,30.1,dhs
HTI.10_1,HTI,2016,internet_fm_ratio,0.781,dhs
HTI.10_1,HTI,2016,mobile_women,56.6,dhs
HTI.10_1,HTI,2016,mobile_men,65.1,dhs
HTI.10_1,HTI,2016,mobile_fm_ratio,0.869,dhs
HTI.2_1,HTI,2016,internet_women,15.9,dhs
HTI.2_1,HTI,2016,internet_men,16.6,dhs
HTI.2_1,HTI,2016,internet_fm_ratio,0.835,dhs
HTI.2_1,HTI,2016,mobile_women,48.6,dhs
HTI.2_1,HTI,2016,mobile_men,57.4,dhs
HTI.2_1,HTI,2016,mobile_fm_ratio,0.847,dhs
HTI.3_1,HTI,2016,internet_women,22.8,dhs
HTI.3_1,HTI,2016,internet_men,36.8,dhs
HTI.3_1,HTI,2016,internet_fm_ratio,0.583,dhs
HTI.3_1,HTI,2016,mobile_women,49.5,dhs
