gid_0,country,outcome,date,predicted,predicted_error
AFG,Afghanistan,internet_fm_ratio,2024-05-01,0.2660007487099699,0.09668513284344321
AFG,Afghanistan,internet_fm_ratio,2024-06-01,0.24873602647643575,0.09481220003354446
AFG,Afghanistan,internet_fm_ratio,2024-07-01,0.25510488024568234,0.09667590152613913
AFG,Afghanistan,internet_men,2024-05-01,35.18777226858582,6.74809090984463
AFG,Afghanistan,internet_men,2024-06-01,33.25231056029716,6.401014460427673
AFG,Afghanistan,internet_men,2024-07-01,34.999790004459065,6.674639324327512
AFG,Afghanistan,internet_women,2024-05-01,16.887567364063113,4.590068702853116
AFG,Afghanistan,internet_women,2024-06-01,14.411592756138875,4.163750977442874
AFG,Afghanistan,internet_women,2024-07-01,16.592129654050684,4.637569619129042
AFG,Afghanistan,mobile_fm_ratio,2024-05-01,0.4516069910070571,0.06549587611726061
AFG,Afghanistan,mobile_fm_ratio,2024-06-01,0.43155279577500705,0.06549587611726061
AFG,Afghanistan,mobile_fm_ratio,2024-07-01,0.45082887736363103,0.06549587611726061
AFG,Afghanistan,mobile_men,2024-05-01,86.12765703246633,3.6332802437217406
AFG,Afghanistan,mobile_men,2024-06-01,85.77634442789298,3.640687538986444
AFG,Afghanistan,mobile_men,2024-07-01,86.1713377342104,3.6172861373782546
AFG,Afghanistan,mobile_women,2024-05-01,33.67783115107528,5.948997768092765
AFG,Afghanistan,mobile_women,2024-06-01,32.75615046878478,5.948997768092765
AFG,Afghanistan,mobile_women,2024-07-01,33.48291089336363,5.948997768092765
AGO,Angola,internet_fm_ratio,2024-05-01,0.5633367822087254,0.12858283447134833
AGO,Angola,internet_fm_ratio,2024-06-01,0.5648740978362294,0.12840240110163345
AGO,Angola,internet_fm_ratio,2024-07-01,0.5564780645467746,0.12869645704749846
AGO,Angola,internet_men,2024-05-01,42.78391136301993,8.254555882851875
AGO,Angola,internet_men,2024-06-01,43.28082204567276,8.268214763044059
AGO,Angola,internet_men,2024-07-01,42.421759769343026,8.212961325789314
AGO,Angola,internet_women,2024-05-01,28.355993204575263,5.85440267140482
AGO,Angola,internet_women,2024-06-01,28.832447923565432,5.82889993898167
AGO,Angola,internet_women,2024-07-01,27.543175006141585,5.837803951269734
AGO,Angola,mobile_fm_ratio,2024-05-01,0.8237909916615153,0.0857078149983523
AGO,Angola,mobile_fm_ratio,2024-06-01,0.8239727783372941,0.0857078149983523
