gid_0,survey_year,source,outcome,observed
SEN,2017,continuous dhs7,internet_men,0.4504078693392139
SEN,2017,continuous dhs7,internet_women,0.28975141363573576
SEN,2017,continuous dhs7,internet_fm_ratio,0.6433089503094725
SEN,2017,continuous dhs7,mobile_women,0.6797595639020463
SEN,2017,continuous dhs7,mobile_men,0.8317015129161689
SEN,2017,continuous dhs7,mobile_fm_ratio,0.8173119242246256
SEN,2018,continuous dhs8,internet_men,0.5440601537492783
SEN,2018,continuous dhs8,internet_women,0.3939882583978311
SEN,2018,continuous dhs8,internet_fm_ratio,0.7241630464623118
SEN,2018,continuous dhs8,mobile_women,0.7079795416310909
SEN,2018,continuous dhs8,mobile_men,0.8332765011768593
SEN,2018,continuous dhs8,mobile_fm_ratio,0.8496333937548844
SEN,2019,continuous dhs8,internet_men,0.582989597
SEN,2019,continuous dhs8,internet_women,0.4673987919943147
SEN,2019,continuous dhs8,internet_fm_ratio,0.8017274997904329
SEN,2019,continuous dhs8,mobile_women,0.6972465363339038
SEN,2019,continuous dhs8,mobile_men,0.8450708153249044
SEN,2019,continuous dhs8,mobile_fm_ratio,0.8250746844994682
AGO,2015,dhs7,internet_men,0.3735364533419803
AGO,2015,dhs7,internet_women,0.17499525494305193
AGO,2015,dhs7,internet_fm_ratio,0.4684824021253962
AGO,2015,dhs7,mobile_women,0.5123604072272857
AGO,2015,dhs7,mobile_men,0.7032224586198265
AGO,2015,dhs7,mobile_fm_ratio,0.7285893687651351
ARM,2015,dhs7,internet_men,0.8897417676417472
ARM,2015,dhs7,internet_women,0.8534957537960136
ARM,2015,dhs7,internet_fm_ratio,0.9592623217612868
ARM,2015,dhs7,mobile_women,0.9674144501930796
ARM,2015,dhs7,mobile_men,0.9877288280649912
ARM,2015,dhs7,mobile_fm_ratio,0.9794332439281858
BEN,2017,dhs7,internet_men,0.20320961344177588
BEN,2017,dhs7,internet_women,0.063499106
BEN,2017,dhs7,internet_fm_ratio,0.3124808178737413
BEN,2017,dhs7,mobile_women,0.5111372919038368
BEN,2017,dhs7,mobile_men,0.7948865687365236
BEN,2017,dhs7,mobile_fm_ratio,0.6430317381211916
BDI,2016,dhs7,internet_men,0.13824062798858117
BDI,2016,dhs7,internet_women,0.044357696
BDI,2016,dhs7,internet_fm_ratio,0.3208730763124015
BDI,2016,dhs7,mobile_women,0.2355781337738155
BDI,2016,dhs7,mobile_men,0.47489448597355177
BDI,2016,dhs7,mobile_fm_ratio,0.49606415894863753
CMR,2018,dhs7,internet_men,0.3995510730651999
CMR,2018,dhs7,internet_women,0.2701966818196434
CMR,2018,dhs7,internet_fm_ratio,0.6762506724029044
CMR,2018,dhs7,mobile_women,0.6356715797794165
CMR,2018,dhs7,mobile_men,0.7729502734415573
CMR,2018,dhs7,mobile_fm_ratio,0.8223964744188418
ETH,2016,dhs7,internet_men,0.12120068867217217
ETH,2016,dhs7,internet_women,0.044186956
ETH,2016,dhs7,internet_fm_ratio,0.3645767751264007
ETH,2016,dhs7,mobile_women,0.27309174075862436
ETH,2016,dhs7,mobile_men,0.54763779
ETH,2016,dhs7,mobile_fm_ratio,0.49867219877991154
GAB,2019,dhs7,internet_men,0.755876122
GAB,2019,dhs7,internet_women,0.625257908
GAB,2019,dhs7,internet_fm_ratio,0.8271962689622885
GAB,2019,dhs7,mobile_women,0.8864744588850682
GAB,2019,dhs7,mobile_men,0.8893142576879649
GAB,2019,dhs7,mobile_fm_ratio,0.9968067544421476
GIN,2018,dhs7,internet_men,0.3219454025087156
GIN,2018,dhs7,internet_women,0.15357517525816697
GIN,2018,dhs7,internet_fm_ratio,0.4770224207628168
GIN,2018,dhs7,mobile_women,0.6893032963333957
GIN,2018,dhs7,mobile_men,0.8578595689706806
GIN,2018,dhs7,mobile_fm_ratio,0.8035153086424968
HTI,2016,dhs7,internet_men,0.4120744900501409
HTI,2016,dhs7,internet_women,0.27834781174284556
HTI,2016,dhs7,internet_fm_ratio,0.6754793574069009
HTI,2016,dhs7,mobile_women,0.5705614412696112
HTI,2016,dhs7,mobile_men,0.6961880139823946
HTI,2016,dhs7,mobile_fm_ratio,0.8195507963514576
IND,2019,dhs7,internet_men,0.5454911084813414
IND,2019,dhs7,internet_women,0.31329835
IND,2019,dhs7,internet_fm_ratio,0.5743418081843628
IND,2019,dhs7,mobile_women,0.5394572116949106
IND,2019,dhs7,mobile_men,0.9218175441308424
IND,2019,dhs7,mobile_fm_ratio,0.5852103977946641
IDN,2017,dhs7,internet_men,0.42526933855136145
IDN,2017,dhs7,internet_women,0.4818965678983352
IDN,2017,dhs7,internet_fm_ratio,1.1331561535564
IDN,2017,dhs7,mobile_women,0.7845682684944437
IDN,2017,dhs7,mobile_men,0.8676537226975517
IDN,2017,dhs7,mobile_fm_ratio,0.9042412289262198
JOR,2017,dhs7,internet_men,0.8667559400585889
JOR,2017,dhs7,internet_women,0.76456603
JOR,2017,dhs7,internet_fm_ratio,0.8821007098529521
JOR,2017,dhs7,mobile_women,0.9184381206390354
JOR,2017,dhs7,mobile_men,0.8862341947917725
JOR,2017,dhs7,mobile_fm_ratio,1.0363379409602105
