"iso2","date","internet_online_model_prediction","internet_offline_model_prediction","internet_online_offline_model_prediction","ground_truth_internet_gg","mobile_online_model_prediction","mobile_offline_model_prediction","mobile_online_offline_model_prediction","ground_truth_mobile_gg"
AD,202206,,,,,,,,
AE,202206,1.0,1.0,,0.964,1.0,1.0,1.0,1.0
AF,202206,0.576,,,,0.722,,,
AL,202206,0.802,0.87,0.811,,0.875,0.939,0.915,0.947
AM,202206,0.945,0.918,0.895,0.968,0.972,0.948,0.978,
AO,202206,0.853,0.637,0.869,0.902,0.91,0.732,0.75,0.729
AR,202206,1.0,0.949,1.0,0.977,1.0,0.982,0.995,1.0
AT,202206,0.993,0.974,1.0,0.939,1.0,1.0,1.0,
AU,202206,1.0,0.953,1.0,0.99,1.0,1.0,1.0,1.0
AW,202206,0.997,,,,1.0,,,
AZ,202206,0.714,0.962,0.775,0.903,0.816,0.973,0.875,0.902
BA,202206,0.948,0.916,,0.925,0.974,0.943,0.967,
BB,202206,1.0,0.932,0.971,,1.0,0.97,0.99,
BD,202206,0.713,0.777,0.725,0.622,0.815,0.836,0.785,0.674
BE,202206,0.998,0.963,1.0,0.981,1.0,1.0,0.991,0.993
BF,202206,0.672,0.639,0.643,,0.787,0.717,0.769,0.867
BG,202206,0.984,0.919,0.983,0.958,0.998,0.986,0.938,
BH,202206,0.815,0.958,0.836,0.978,0.884,,0.985,1.0
BI,202206,0.718,0.605,0.662,0.5,0.819,0.718,0.742,0.496
BJ,202206,0.731,0.507,0.708,,0.828,0.648,0.664,0.643
BN,202206,0.909,0.995,0.96,1.0,0.948,1.0,0.968,1.0
BO,202206,0.925,0.816,,0.868,0.958,0.907,0.939,0.966
BR,202206,1.0,0.964,0.989,0.996,1.0,0.975,1.0,1.0
BS,202206,1.0,1.0,,,1.0,1.0,1.0,
BT,202206,1.0,0.782,0.975,,1.0,0.847,0.98,
BW,202206,0.921,0.887,0.963,0.835,0.956,0.977,0.974,1.0
BY,202206,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0
BZ,202206,1.0,0.845,0.942,,1.0,,1.0,
CA,202206,1.0,0.962,1.0,,1.0,1.0,1.0,0.979
CD,202206,0.756,0.392,0.686,,0.844,0.561,0.673,
CF,202206,0.726,,,,0.824,,,
CG,202206,0.842,,,,0.902,,,
